id,category,expected_intent,config,rep,predicted_intent,latency_ms,sources_count,top_source_ids,top_source_scores,answer_length,answer,error
A1,adversarial,service,RAG,3,service,20446,4,MMT-PROBE|HTTP-SIM|MAG|AI4SOAR,0.591|0.564|0.515|0.512,1068,"There is no service named **""MONT-MMT""** in the repository. The closest match is **MMT-PROBE** (shortName: `MMT-PROBE`), which is the **Montimage Monitoring Tool (MMT) DPI probe** from provider **Montimage (MTI)**.

**MMT-PROBE**  
- **Category:** Monitor  
- **Description:** A deep-packet-inspection probe shipped as the `montimage/mmt` container image. It runs as a sidecar sharing the target pod’s network namespace (requires `NET_ADMIN` and `NET_RAW`), configured via `mmt-probe.conf` or the `HOST_INTERFACE` environment variable. It emits security alerts and analysis reports consumed by AI4SOAR.  
- **Inputs:** Pod network traffic (packets on the target pod interface)  
- **Outputs:** DPI alerts & reports (security output-channel alerts and analysis reports)  
- **Use case:** Monitor module in the Montimage attack→detect→respond scenario  
- **Docker image:** `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`  
- **TRL:** current 7, expected 8  
- **License:** TBD  

If you meant a different service, please clarify the name or provide more details.",
A1,adversarial,service,COLD,3,rag-off,6567,0,,,368,"I don't have any information about a service called **MONT-MMT** in the current repository context. The catalog search returned no relevant services for that name.

If you have additional details (e.g., provider, category, or a different name/spelling), I can try looking again. Otherwise, I can help you explore other cybersecurity services available in the platform.",
A2,adversarial,service,RAG,3,service,12266,4,SECVDR|MMT-PROBE|SECASSURE4AI|AI4SOAR,0.536|0.511|0.509|0.502,561,"The repository context does not include a service named **GOOGLE-SHIELD**. The available services are:

- **SECVDR** (CERTH) – Vulnerability discovery and repair for source/configuration code  
- **MMT-PROBE** (Montimage) – DPI traffic analysis probe for pod network monitoring  
- **SECASSURE4AI** (Tecnalia) – Security assurance for AI/ML components (explainability, fairness, robustness)  
- **AI4SOAR** (Montimage) – AI-driven SOAR that ingests MMT-PROBE alerts and executes Kubernetes remediation actions  

Would you like details on any of these services?",
A2,adversarial,service,COLD,3,rag-off,13841,0,,,294,"I don't see a service called **GOOGLE-SHIELD** in the current repository catalog. The context returned no matching services.

If you have more details (e.g., a different name, provider, or capability area), I can search again. Otherwise, you may want to check the full service catalog directly.",
A3,adversarial,service,RAG,3,service,8953,4,AST-DEDISRV|SAVVY-DEVSRV|SECNCD|SECVDR,0.513|0.498|0.491|0.480,531,"None of the services in the catalog have a current TRL of 12. The Technology Readiness Level (TRL) scale typically ranges from 1–9, and the highest current TRL among the listed services is **9**.

**Current TRLs in the catalog:**
- **AST-DEDISRV** (Dedicated Server) – current TRL 9
- **SAVVY-DEVSRV** (Development Servers & Operational Networks) – current TRL 9
- **SECNCD** (AI-based Non-Compliance Detector) – current TRL 5
- **SECVDR** (Vulnerability Discovery and Repair) – current TRL 5

No service shows a current TRL of 12.",
A3,adversarial,service,COLD,3,rag-off,5342,0,,,130,"No services were retrieved from the catalog, so I cannot identify any with a TRL of 12. The repository context is currently empty.",
A4,adversarial,service,RAG,3,service,11585,4,AST-DEDISRV|SAVVY-DEVSRV|SECINTERP|CI-SIM,0.574|0.565|0.551|0.527,537,"Based on the repository context provided, **there are no Cisco services** in the current set of four services. The providers represented are:

- **AST (Assist Software)** – AST-DEDISRV  
- **SAVVY (Savvy Data Systems)** – SAVVY-DEVSRV  
- **Tecnalia (TEC)** – SECINTERP  
- **Montimage (MTI)** – CI-SIM  

None of the service entries mention ""Cisco"" or ""CISCO"" in their provider name, shortName, title, or description.

*Note: This context only includes four services. The full repository may contain additional services not shown here.*",
A4,adversarial,service,COLD,3,rag-off,21102,0,,,241,"No CISCO services were found in the current repository context. The catalog search returned no relevant services matching that provider.

Would you like to try a different search term, or look for services with specific capabilities instead?",
A5,adversarial,service,RAG,3,service,5381,4,MMT-PROBE|HTTP-SIM|AI4SOAR|MAG,0.727|0.660|0.557|0.538,151,The repository context does not specify any minimum RAM requirement for MMT-PROBE. This information is unavailable in the provided service description.,
A5,adversarial,service,COLD,3,rag-off,73417,0,,,361,"I don't have any information about MMT-PROBE in the current repository context — no services matching that name were retrieved from the catalog.

If you have more details (e.g., provider, category, or a different name it might be listed under), I can try searching again. Otherwise, I can help you explore other cybersecurity services available in the platform.",
A6,adversarial,service,RAG,3,service,17123,4,SECINTERP|SECSAC|SECNCD|SECOPSTWIN,0.598|0.580|0.565|0.564,540,"Based on the repository context provided, **none of the listed services mention certification by the U.S. National Security Agency (NSA)**. The standards referenced for these services are:

- **SECINTERP**: IEC 62443-4-2, IEEE 1686, IEC 62351  
- **SECSAC**: OSCAL  
- **SECNCD**: No specific standards listed in the context  
- **SECOPSTWIN**: No specific standards listed in the context  

If you need information about NSA-certified services, you may need to consult a broader catalogue or certification registry outside this repository.",
A6,adversarial,service,COLD,3,rag-off,7150,0,,,320,"I don't have any information in the repository about services certified by the U.S. National Security Agency (NSA). The catalog search returned no relevant services for this query.

If you have specific service names or other criteria (e.g., provider, capability, deployment model), I can help you look those up instead.",
G1,casual,casual,RAG,3,casual,6893,0,,,158,Hello! I'm the Boss Agent for the MI Digital Twin Management Platform. How can I help you explore or compare cybersecurity services from the repository today?,
G1,casual,casual,COLD,3,rag-off,5498,0,,,339,"Hello! I'm the Boss Agent for the MI Digital Twin Management Platform. I'm here to help you explore and compare cybersecurity services from our platform repository.

How can I assist you today? You can ask me about specific services, compare capabilities, or get information about providers and deployment options available in the catalog.",
G2,casual,casual,RAG,3,casual,3994,0,,,168,"Hello! I'm doing well, thank you for asking. How can I help you explore or compare cybersecurity services from the MI Digital Twin Management Platform repository today?",
G2,casual,casual,COLD,3,rag-off,1511,0,,,168,"Hello! I'm doing well, thank you for asking. How can I help you explore or compare cybersecurity services from the MI Digital Twin Management Platform repository today?",
G3,casual,casual,RAG,3,casual,4774,0,,,114,"You're welcome! If you have any more questions about cybersecurity services from the repository, feel free to ask.",
G3,casual,casual,COLD,3,rag-off,4629,0,,,189,"You're welcome! Since no matching services were found in the catalog, feel free to let me know if you'd like to adjust your search criteria or explore a different topic — I'm happy to help.",
G4,casual,casual,RAG,3,casual,4773,0,,,164,Good morning! I'm ready to help you explore and compare cybersecurity services from the MI Digital Twin Management Platform repository. What would you like to know?,
G4,casual,casual,COLD,3,rag-off,8024,0,,,164,Good morning! I'm ready to help you explore and compare cybersecurity services from the MI Digital Twin Management Platform repository. What would you like to know?,
G5,casual,casual,RAG,3,casual,44676,0,,,150,Goodbye! Feel free to reach out anytime you need help exploring cybersecurity services from the MI Digital Twin Management Platform. Have a great day!,
G5,casual,casual,COLD,3,rag-off,6876,0,,,123,Goodbye! Feel free to reach out anytime you need help exploring cybersecurity services from the platform. Have a great day!,
G6,casual,casual,RAG,3,casual,1694,0,,,219,"You're welcome! If you have any other questions about the cybersecurity services in the repository — such as comparing capabilities, checking deployment options, or exploring providers — just let me know. Happy to help.",
G6,casual,casual,COLD,3,rag-off,10788,0,,,143,"You're welcome! If you have any more questions about cybersecurity services in the repository or need help comparing options, just let me know.",
